Once/TypeCheck/Elaborate.agda:1022.3-26	  ... | success _ _ _ _ _ = failure FstNeedsPair	when checking the definition of Once.TypeCheck.Elaborate.with-2030
Once/TypeCheck/Elaborate.agda:1028.3-26	  ... | success _ _ _ _ _ = failure SndNeedsPair	when checking the definition of Once.TypeCheck.Elaborate.with-2072
Once/TypeCheck/Elaborate.agda:1043.3-26	  ... | success _ _ _ _ _ = failure ArrNeedsFunction	when checking the definition of Once.TypeCheck.Elaborate.with-2148
Once/TypeCheck/Elaborate.agda:1067.3-63	  inferElab ctx (RApp .(RVar _) _) | ahv-apply | success _ _ _ _ _	when checking the definition of Once.TypeCheck.Elaborate.with-2200
Once/TypeCheck/Elaborate.agda:1111.3-62	  inferElab ctx (RDestruct _ _ _ _ _) | success _ _ _ _ _	when checking the definition of Once.TypeCheck.Elaborate.with-2746
Once/TypeCheck/Elaborate.agda:1130.7-16	  mkArith _ = SExpr.add	when checking the definition of mkArith
Once/TypeCheck/Elaborate.agda:1139.7-14	  mkCmp _ = SExpr.lt	when checking the definition of mkCmp
Once/TypeCheck/Elaborate.agda:1145.3-26	  ... | success _ _ _ _ _ = failure NegationNotInt	when checking the definition of Once.TypeCheck.Elaborate.with-3154
Once/TypeCheck/Elaborate.agda:1162.3-1295.20	  checkElab ctx (RLam _ _) _ = failure LambdaRequiresFunctionType	when checking the definition of checkElab
Once/TypeCheck/Elaborate.agda:116.3-18	  ... | _ | no ¬q = no (λ { refl → ¬q refl })	when checking the definition of Once.TypeCheck.Elaborate.with-134
Once/TypeCheck/Elaborate.agda:120.3-18	  ... | _ | no ¬q = no (λ { refl → ¬q refl })	when checking the definition of Once.TypeCheck.Elaborate.with-178
Once/TypeCheck/Elaborate.agda:124.3-125.22	  ... | _ | no ¬k | _ = no (λ { refl → ¬k refl })	when checking the definition of Once.TypeCheck.Elaborate.with-226
Once/TypeCheck/Elaborate.agda:1256.3-70	  checkElab ctx (RApp .(RVar _) arg) T | ahv-arr | _ ⇒[ _ ] _	when checking the definition of Once.TypeCheck.Elaborate.with-3946
Once/TypeCheck/Elaborate.agda:1344.3-48	  checkElab-RVar ctx _ _ | bbc-id | failure err = failure err	when checking the definition of Once.TypeCheck.Elaborate.with-4380
Once/TypeCheck/Elaborate.agda:1353.3-49	  checkElab-RVar ctx _ _ | bbc-fst | failure err = failure err	when checking the definition of Once.TypeCheck.Elaborate.with-4460
Once/TypeCheck/Elaborate.agda:1362.3-49	  checkElab-RVar ctx _ _ | bbc-snd | failure err = failure err	when checking the definition of Once.TypeCheck.Elaborate.with-4546
Once/TypeCheck/Elaborate.agda:1370.3-54	  checkElab-RVar ctx _ _ | bbc-terminal | failure err = failure err	when checking the definition of Once.TypeCheck.Elaborate.with-4632
Once/TypeCheck/Elaborate.agda:1378.3-53	  checkElab-RVar ctx _ _ | bbc-initial | failure err = failure err	when checking the definition of Once.TypeCheck.Elaborate.with-4694
Once/TypeCheck/Elaborate.agda:1387.3-49	  checkElab-RVar ctx _ _ | bbc-inl | failure err = failure err	when checking the definition of Once.TypeCheck.Elaborate.with-4756
Once/TypeCheck/Elaborate.agda:1396.3-49	  checkElab-RVar ctx _ _ | bbc-inr | failure err = failure err	when checking the definition of Once.TypeCheck.Elaborate.with-4842
Once/TypeCheck/Elaborate.agda:1404.3-14	  ... | _ | _ = failure (BuiltinTypeMismatch "arr")	when checking the definition of Once.TypeCheck.Elaborate.with-4988
Once/TypeCheck/Elaborate.agda:1405.3-49	  checkElab-RVar ctx _ _ | bbc-arr | failure err = failure err	when checking the definition of Once.TypeCheck.Elaborate.with-4928
Once/TypeCheck/Elaborate.agda:1426.3-20	  checkPair _ _ _ _ = failure (BuiltinTypeMismatch "pair")	when checking the definition of checkPair
Once/TypeCheck/Elaborate.agda:1468.3-164	  checkCompose _ (RApp (RVar "compose") _) _	when checking the definition of Once.TypeCheck.Elaborate.with-5130
Once/TypeCheck/Elaborate.agda:1471.3-23	  checkCompose _ _ _ _ = failure (BuiltinTypeMismatch "compose")	when checking the definition of checkCompose
Once/TypeCheck/Elaborate.agda:1480.3-19	  checkCurry _ _ _ = failure (BuiltinTypeMismatch "curry")	when checking the definition of checkCurry
